rank_number	ratingtomatometer_number	title_link	title_link/_text
1	99	http://www.rottentomatoes.com/m/the_wizard_of_oz_1939/	The Wizard of Oz (1939)
2	100	http://www.rottentomatoes.com/m/the-third-man/	The Third Man (1949)
3	100	http://www.rottentomatoes.com/m/citizen_kane/	Citizen Kane (1941)
4	100	http://www.rottentomatoes.com/m/1003361-cabinet_of_dr_caligari/	Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1920)
5	100	http://www.rottentomatoes.com/m/1000626-all_about_eve/	All About Eve (1950)
6	99	http://www.rottentomatoes.com/m/godfather/	The Godfather (1972)
7	100	http://www.rottentomatoes.com/m/modern_times/	Modern Times (1936)
8	98	http://www.rottentomatoes.com/m/et_the_extraterrestrial/	E.T. The Extra-Terrestrial (1982)
9	99	http://www.rottentomatoes.com/m/1013775-metropolis/	Metropolis (1927)
10	98	http://www.rottentomatoes.com/m/it_happened_one_night/	It Happened One Night (1934)
11	100	http://www.rottentomatoes.com/m/singin_in_the_rain/	Singin' in the Rain (1952)
12	98	http://www.rottentomatoes.com/m/inside_out_2015/	Inside Out (2015)
13	100	http://www.rottentomatoes.com/m/1012007-laura/	Laura (1944)
14	98	http://www.rottentomatoes.com/m/beatles_a_hard_days_night/	A Hard Day's Night (1964)
15	98	http://www.rottentomatoes.com/m/1048445-snow_white_and_the_seven_dwarfs/	Snow White and the Seven Dwarfs (1937)
16	98	http://www.rottentomatoes.com/m/boyhood/	Boyhood (2014)
17	100	http://www.rottentomatoes.com/m/repulsion/	Repulsion (1965)
18	100	http://www.rottentomatoes.com/m/north-by-northwest/	North by Northwest (1959)
19	98	http://www.rottentomatoes.com/m/1011615-king_kong/	King Kong (1933)
20	100	http://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood/	The Adventures of Robin Hood (1938)
21	100	http://www.rottentomatoes.com/m/1013139-maltese_falcon/	The Maltese Falcon (1941)
22	99	http://www.rottentomatoes.com/m/battle_of_algiers/	La Battaglia di Algeri (The Battle of Algiers) (1967)
23	100	http://www.rottentomatoes.com/m/1017289-rear_window/	Rear Window (1954)
24	100	http://www.rottentomatoes.com/m/toy_story_2/	Toy Story 2 (1999)
25	100	http://www.rottentomatoes.com/m/philadelphia_story/	The Philadelphia Story (1940)
26	100	http://www.rottentomatoes.com/m/rashomon/	Rashômon (Rashomon) (In the Woods) (1951)
27	98	http://www.rottentomatoes.com/m/sunset_boulevard/	Sunset Boulevard (1950)
28	99	http://www.rottentomatoes.com/m/toy_story_3/	Toy Story 3 (2010)
29	100	http://www.rottentomatoes.com/m/bride_of_frankenstein/	The Bride of Frankenstein (1935)
30	100	http://www.rottentomatoes.com/m/400_blows/	The 400 Blows (Les Quatre cents coups) (1959)
31	100	http://www.rottentomatoes.com/m/1012928-m/	M (1931)
32	98	http://www.rottentomatoes.com/m/the_bicycle_thief/	The Bicycle Thief (1949)
33	98	http://www.rottentomatoes.com/m/up/	Up (2009)
34	100	http://www.rottentomatoes.com/m/treasure_of_the_sierra_madre/	The Treasure of the Sierra Madre (1948)
35	99	http://www.rottentomatoes.com/m/selma/	Selma (2015)
36	100	http://www.rottentomatoes.com/m/1018639-seven_samurai/	Seven Samurai (Shichinin no Samurai) (1954)
37	99	http://www.rottentomatoes.com/m/taxi_driver/	Taxi Driver (1976)
38	98	http://www.rottentomatoes.com/m/night_of_the_hunter/	The Night of the Hunter (1955)
39	100	http://www.rottentomatoes.com/m/1000013-12_angry_men/	12 Angry Men (Twelve Angry Men) (1957)
40	100	http://www.rottentomatoes.com/m/1017293-rebecca/	Rebecca (1940)
41	100	http://www.rottentomatoes.com/m/the_conformist/	The Conformist (1970)
42	100	http://www.rottentomatoes.com/m/1007818-frankenstein/	Frankenstein (1931)
43	98	http://www.rottentomatoes.com/m/1020333-streetcar_named_desire/	A Streetcar Named Desire (1951)
44	99	http://www.rottentomatoes.com/m/finding_nemo/	Finding Nemo (2003)
45	99	http://www.rottentomatoes.com/m/rosemarys_baby/	Rosemary's Baby (1968)
46	99	http://www.rottentomatoes.com/m/la_confidential/	L.A. Confidential (1997)
47	98	http://www.rottentomatoes.com/m/the_wrestler/	The Wrestler (2008)
48	99	http://www.rottentomatoes.com/m/dr_strangelove/	Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964)
49	98	http://www.rottentomatoes.com/m/1000121-39_steps/	The 39 Steps (1935)
50	98	http://www.rottentomatoes.com/m/hurt_locker/	The Hurt Locker (2009)
51	100	http://www.rottentomatoes.com/m/last_picture_show/	The Last Picture Show (1971)
52	100	http://www.rottentomatoes.com/m/grapes_of_wrath/	The Grapes of Wrath (1940)
53	99	http://www.rottentomatoes.com/m/zootopia/	Zootopia (2016)
54	100	http://www.rottentomatoes.com/m/tokyo_story/	Tokyo Story (Tôkyô monogatari) (1953)
55	100	http://www.rottentomatoes.com/m/pinocchio_1940/	Pinocchio (1940)
56	100	http://www.rottentomatoes.com/m/wages_of_fear/	The Wages of Fear (1953)
57	100	http://www.rottentomatoes.com/m/toy_story/	Toy Story (1995)
58	100	http://www.rottentomatoes.com/m/man_on_wire/	Man on Wire (2008)
59	98	http://www.rottentomatoes.com/m/roman_holiday/	Roman Holiday (1953)
60	100	http://www.rottentomatoes.com/m/anatomy-of-a-murder/	Anatomy of a Murder (1959)
61	98	http://www.rottentomatoes.com/m/annie_hall/	Annie Hall (1977)
62	100	http://www.rottentomatoes.com/m/the_leopard_1963/	The Leopard (1963)
63	98	http://www.rottentomatoes.com/m/best_years_of_our_lives/	The Best Years of Our Lives (1946)
64	100	http://www.rottentomatoes.com/m/cool_hand_luke/	Cool Hand Luke (1967)
65	98	http://www.rottentomatoes.com/m/on_the_waterfront/	On the Waterfront (1954)
66	100	http://www.rottentomatoes.com/m/battleship_potemkin/	Battleship Potemkin (1925)
67	98	http://www.rottentomatoes.com/m/chinatown/	Chinatown (1974)
68	100	http://www.rottentomatoes.com/m/searchers/	The Searchers (1956)
69	98	http://www.rottentomatoes.com/m/the_rules_of_the_game/	The Rules of the Game (1950)
70	98	http://www.rottentomatoes.com/m/mr_turner/	Mr. Turner (2014)
71	98	http://www.rottentomatoes.com/m/the_babadook/	The Babadook (2014)
72	100	http://www.rottentomatoes.com/m/the-gold-rush/	The Gold Rush (1925)
73	98	http://www.rottentomatoes.com/m/before_midnight_2013/	Before Midnight (2013)
74	98	http://www.rottentomatoes.com/m/sweet_smell_of_success/	Sweet Smell of Success (1957)
75	100	http://www.rottentomatoes.com/m/terminator/	The Terminator (1984)
76	99	http://www.rottentomatoes.com/m/short_term_12_2013/	Short Term 12 (2013)
77	98	http://www.rottentomatoes.com/m/french_connection/	The French Connection (1971)
78	98	http://www.rottentomatoes.com/m/let_the_right_one_in/	Let the Right One In (2008)
79	100	http://www.rottentomatoes.com/m/playtime/	Playtime (Play Time) (1967)
80	98	http://www.rottentomatoes.com/m/city_lights/	City Lights (1931)
81	100	http://www.rottentomatoes.com/m/mary_poppins/	Mary Poppins (1964)
82	98	http://www.rottentomatoes.com/m/1059489-wild_bunch/	The Wild Bunch (1969)
83	98	http://www.rottentomatoes.com/m/mud_2012/	Mud (2013)
84	98	http://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers/	Invasion of the Body Snatchers (1956)
85	99	http://www.rottentomatoes.com/m/shaun_the_sheep_movie/	Shaun the Sheep Movie (2015)
86	98	http://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie/	The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972)
87	98	http://www.rottentomatoes.com/m/1000617-aliens/	Aliens (1986)
88	98	http://www.rottentomatoes.com/m/1001577-badlands/	Badlands (1974)
89	98	http://www.rottentomatoes.com/m/1194522-how_to_train_your_dragon/	How to Train Your Dragon (2010)
90	98	http://www.rottentomatoes.com/m/eyes_without_a_face_1962/	Eyes Without a Face (1962)
91	98	http://www.rottentomatoes.com/m/once_upon_a_time_in_the_west/	Once Upon a Time in the West (1968)
92	98	http://www.rottentomatoes.com/m/mean_streets/	Mean Streets (1973)
93	98	http://www.rottentomatoes.com/m/1013227-manchurian_candidate/	The Manchurian Candidate (1962)
94	99	http://www.rottentomatoes.com/m/gloria_2012/	Gloria (2014)
95	99	http://www.rottentomatoes.com/m/leviafan/	Leviathan (2014)
96	98	http://www.rottentomatoes.com/m/aguirre_the_wrath_of_god/	"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God) (1972)"
97	100	http://www.rottentomatoes.com/m/sweet_hereafter/	The Sweet Hereafter (1997)
98	98	http://www.rottentomatoes.com/m/8-12/	8 1/2 (1963)
99	99	http://www.rottentomatoes.com/m/a_separation_2011/	A Separation (2011)
100	98	http://www.rottentomatoes.com/m/conversation/	The Conversation (1974)
